Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
Internal Medicine: Systemic Disease Diagnosis and Management,https://smarticle.tech/en/article/internal-medicine-systemic-disease-diagnosis-and-management-202605121129,Public Health,Systemic Implications of Bullous Pemphigoid: Bridging Dermatology and Internal Medicine,https://doi.org/10.3390/diagnostics14202272,"Mashima, E., Saito-Sasaki, N., Sawada, Yu. ""Systemic Implications of Bullous Pemphigoid: Bridging Dermatology and Internal Medicine"". Diagnostics, 2024."
Internal Medicine: Systemic Disease Diagnosis and Management,https://smarticle.tech/en/article/internal-medicine-systemic-disease-diagnosis-and-management-202605121129,Public Health,[Screening for sleep disorders in internal medicine as potential comorbidities of systemic autoimmune diseases and improving patients' quality of life,https://doi.org/10.1016/j.revmed.2024.11.012,"É. Riviere, V. Martin, P. Philip, J. Coelho, J.-A. Micoulaud-Franchi. ""[Screening for sleep disorders in internal medicine as potential comorbidities of systemic autoimmune diseases and improving patients' quality of life]"". *Revue de Médecine Interne*, 2024."
Internal Medicine: Systemic Disease Diagnosis and Management,https://smarticle.tech/en/article/internal-medicine-systemic-disease-diagnosis-and-management-202605121129,Public Health,The Role of Neuroinflammation in the Comorbidity of Psychiatric Disorders and Internal Diseases,https://doi.org/10.3390/healthcare13070837,"Grecu Ramona Cătălina et al. ""The Role of Neuroinflammation in the Comorbidity of Psychiatric Disorders and Internal Diseases"". healthcare, 2025."
Internal Medicine: Systemic Disease Diagnosis and Management,https://smarticle.tech/en/article/internal-medicine-systemic-disease-diagnosis-and-management-202605121129,Public Health,The Schematic Assessment of Vitamin D Deficiency in Relation to Autoimmune Disorders and Its Implications in Internal Medicine,https://doi.org/10.7759/cureus.82949,"J. Aslam et al. ""The Schematic Assessment of Vitamin D Deficiency in Relation to Autoimmune Disorders and Its Implications in Internal Medicine"". semantic_scholar_foundational, 2025."
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,Introduction to Clinical Emergency Medicine,https://openlibrary.org/works/OL25658280W,"Introduction to Clinical Emergency Medicine. by Gus M. Garmel, Swaminatha V. Mahadevan. (2005). — Cambridge University Press. ISBN: 9781139338172"
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,Paramedic Care : Pearson New International Edition,https://openlibrary.org/works/OL21513870W,"Paramedic Care : Pearson New International Edition. by Bryan E. Bledsoe, Robert S. Porter, Richard A. Cherry. (2013). — Pearson Education, Limited. ISBN: 1292021497"
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,"Asthma-related emergency department (ED) visits and post-ED visit hospital and critical care admissions, National Hospital Ambulatory Medical Care Sur",https://doi.org/10.1080/02770903.2020.1713149,"Qin, Xiaoting et al. ""Asthma-related emergency department (ED) visits and post-ED visit hospital and critical care admissions, National Hospital Ambulatory Medical Care Survey, 2010–2015"". *semantic_scholar_foundational*, 2020."
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,Implementation of an emergency department virtual follow-up care process in a community-based hospital: a quality improvement initiative,https://doi.org/10.1136/bmjoq-2021-001782,"D. El-Zammar, R. Johal, J. Eng, T. Schulz. ""Implementation of an emergency department virtual follow-up care process in a community-based hospital: a quality improvement initiative"". semantic_scholar_foundational, 2022."
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,Triage and Ongoing Care for Critically Ill Patients in the Emergency Department: Results from a National Survey of Emergency Physicians,https://doi.org/10.5811/westjem.2019.11.43547,"K. Mathews, Sandra Rodriguez, Judith E. Nelson, Lynne D. Richardson. ""Triage and Ongoing Care for Critically Ill Patients in the Emergency Department: Results from a National Survey of Emergency Physicians"". WestJEM, 2020."
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,Patient-Safety Culture among Emergency and Critical Care Nurses in a Maternal and Child Department,https://doi.org/10.3390/healthcare11202770,"Abdul-Karim Jebuni Fuseini et al. ""Patient-Safety Culture among Emergency and Critical Care Nurses in a Maternal and Child Department"". Healthcare, 2023."
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,"Burnout and Resilience among Frontline Nurses during COVID-19 Pandemic: A Cross-sectional Study in the Emergency Department of a Tertiary Care Center,",https://doi.org/10.5005/jp-journals-10071-23667,"Sinu Jose, M. Dhandapani, Maneesha C Cyriac. ""Burnout and Resilience among Frontline Nurses during COVID-19 Pandemic: A Cross-sectional Study in the Emergency Department of a Tertiary Care Center, North India"". semantic_scholar_foundational, 2020."
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,ICD-10-CM 2020 Snapshot Coding Card,https://openlibrary.org/works/OL35706896W,ICD-10-CM 2020 Snapshot Coding Card. by American Medical Association. (2019). — American Medical Association. ISBN: 1622029968
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,Scientific Reference,https://openlibrary.org/works/OL8492715W,EMED. by Primedia. (1998). — Delmar Learning. ISBN: 9781401837723
"Emergency Medicine: Acute Care, Triage, and Critical Interventions",https://smarticle.tech/en/article/emergency-medicine-acute-care-triage-and-critical-interventions-202605150058,Public Health,PULSE,https://openlibrary.org/works/OL8492716W,PULSE. by Primedia. (1998). — Delmar Learning. ISBN: 1401888208
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,Practical handbook of advanced interventional cardiology,https://archive.org/details/practicalhandboo0000unse_p7z8,Practical handbook of advanced interventional cardiology. by Thach Nguyen. (2000). — Wiley-Blackwell. ISBN: 0879934697
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,Making Sense of the ECG,https://archive.org/details/makingsenseofecg0000houg,"Making Sense of the ECG. by Andrew Houghton, David Gray. (2008). — CRC Press. ISBN: 0429579322"
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,An introduction to electrocardiography,https://archive.org/details/introductiontoel0000scha_7edi,"An introduction to electrocardiography. by Leo Schamroth, L. Schamroth, C. Schamroth. (1964). — Blackwell Publishing Limited. ISBN: 0632024119"
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,Introduction to basic cardiac dysrhythmias,https://openlibrary.org/works/OL3245070W,"Introduction to basic cardiac dysrhythmias. by Sandra Atwood, Cheryl Stanton, Jenny Storey Davenport. (1990). — Mosby Lifeline. ISBN: 9780323052252"
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,ICD-10-CM 2020 Snapshot Coding Card,https://openlibrary.org/works/OL35706896W,ICD-10-CM 2020 Snapshot Coding Card. by American Medical Association. (2019). — American Medical Association. ISBN: 1622029968
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,ICD-10-CM 2018 Snapshot Coding Card,https://openlibrary.org/works/OL28668286W,ICD-10-CM 2018 Snapshot Coding Card. by American Medical American Medical Association. (2017). — American Medical Association. ISBN: 9781622026371
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,ICD-9 CM Easy Coder,https://openlibrary.org/works/OL769753W,ICD-9 CM Easy Coder. by Paul K. Tanaka. (1998). — Unicor Medical... ISBN: 9781567811629
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,"THE DEVELOPMENT PROCESS OF CARDIOLOGY, ITS THEORETICAL FOUNDATIONS AND APPLICATION IN CLINICAL PRACTICE",https://doi.org/10.64941/hub.v01.i01.001,"SULTONOVA MARJONA NOSIROVNA. ""THE DEVELOPMENT PROCESS OF CARDIOLOGY, ITS THEORETICAL FOUNDATIONS AND APPLICATION IN CLINICAL PRACTICE"". crossref, 2025."
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,CRT-500.20 Barriers and Motivators for Participation of Cardiovascular Healthcare Providers in Clinical Trials in Iraq: A Survey-Based Study,https://doi.org/10.1016/j.jcin.2023.01.231,"Zainab Atiyah Dakhil et al. ""CRT-500.20 Barriers and Motivators for Participation of Cardiovascular Healthcare Providers in Clinical Trials in Iraq: A Survey-Based Study"". crossref, 2023."
"Clinical Cardiology: Heart Disease, Arrhythmia, and Cardiovascular Interventions",https://smarticle.tech/en/article/clinical-cardiology-heart-disease-arrhythmia-and-cardiovascular-interventio-202605150104,Public Health,Incidence and Clinical Impact of Stroke Complicating Percutaneous Coronary Intervention,https://doi.org/10.1161/circinterventions.112.000170,"Werner N, Bauer T, Hochadel M, et al. ""Incidence and Clinical Impact of Stroke Complicating Percutaneous Coronary Intervention"". Circulation: Cardiovascular Interventions, 2013."
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,Musicophilia,https://archive.org/details/bwb_W9-COR-980,Musicophilia. by Oliver Sacks. (2007). — Companhia das Letras. ISBN: 8845972615
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,An introduction to neurology,https://archive.org/details/introductiontone00herrrich,An introduction to neurology. by C. Judson Herrick. (1915). — W.B. Saunders Company
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,The Man Who Mistook His Wife for a Hat,https://archive.org/details/ohomemqueconfund0000sack,The Man Who Mistook His Wife for a Hat. by Oliver Sacks. (1980). — Meulenhoff. ISBN: 9789576213366
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,Awakenings,https://archive.org/details/uyanslar0000sack,"Awakenings. by Oliver Sacks, Jonathan Davis. (1973). — Seuil. ISBN: 9783499120978"
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,An Anthropologist on Mars,https://archive.org/details/antropologybatma0000oliv,An Anthropologist on Mars. by Oliver Sacks. (1995). — Rowohlt Tb.. ISBN: 0679767177
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,The human brain,https://archive.org/details/humanbraininphot0000nolt,The human brain. by John Nolte. (1981). — Mosby. ISBN: 0323041310
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,"Harnessing myelin water fraction as an imaging biomarker of human cerebral aging, neurodegenerative diseases, and risk factors influencing myelination",https://doi.org/10.1111/jnc.16170,"Faulkner, M., et al. ""Harnessing myelin water fraction as an imaging biomarker of human cerebral aging, neurodegenerative diseases, and risk factors influencing myelination: A review"". Journal of Neurochemistry, 2024."
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,Role of the gut-brain axis in neurological diseases: Molecular connections and therapeutic implications (Review),https://doi.org/10.3892/ijmm.2025.5633,"Hongjuan Zhang et al. ""Role of the gut-brain axis in neurological diseases: Molecular connections and therapeutic implications (Review)"". International Journal of Molecular Medicine, 2025."
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,Navigating the landscape of protein folding and proteostasis: from molecular chaperones to therapeutic innovations,https://doi.org/10.1038/s41392-025-02439-w,"O. Kuzu, L. J. T. Granerud, F. Saatcioglu. ""Navigating the landscape of protein folding and proteostasis: from molecular chaperones to therapeutic innovations"". semantic_scholar_foundational, 2025."
"Neurology: Brain Disorders, Neurodegeneration, and Stroke",https://smarticle.tech/en/article/neurology-brain-disorders-neurodegeneration-and-stroke-202605150111,Public Health,Preclinical insights into gamma-tACS: foundations for clinical translation in neurodegenerative diseases,https://doi.org/10.3389/fnins.2025.1549230,"Guillermo Sánchez-Garrido Campos et al. ""Preclinical insights into gamma-tACS: foundations for clinical translation in neurodegenerative diseases"". Frontiers in Neuroscience, 2025."
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,Introduction to Mathematical Oncology,https://openlibrary.org/works/OL25127600W,"Introduction to Mathematical Oncology. by Yang Kuang, John D. Nagy, Steffen E. Eikenberry. (2018). — Routledge. ISBN: 1498752977"
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,Introduction to Physical Oncology,https://openlibrary.org/works/OL25187546W,"Introduction to Physical Oncology. by Vittorio Cristini, Eugene Koay, Zhihui Wang. (2017). — Taylor & Francis Group. ISBN: 1315337827"
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,Introduction to Cancer Therapy,https://openlibrary.org/works/OL26598552W,"Introduction to Cancer Therapy. by Neville Charron. (2020). — Nova Science Publishers, Incorporated. ISBN: 1536184500"
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,The Impact of Tumor Biology on Cancer Treatment and Multidisciplinary Strategies,https://archive.org/details/impacttumorbiolo00moll,The Impact of Tumor Biology on Cancer Treatment and Multidisciplinary Strategies. by Michael Molls. (2009). — Springer Berlin Heidelberg. ISBN: 3540743855
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,Introduction to clinical radiation oncology,https://archive.org/details/introductiontocl00coia,Introduction to clinical radiation oncology. by Lawrence R. Coia. (1994). — Medical Physics Pub.. ISBN: 9780944838464
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,Principles and practice of radiation therapy,https://openlibrary.org/works/OL19468087W,"Principles and practice of radiation therapy. by Charles M. Washington, Dennis T. Leaver. (1900). — Mosby. ISBN: 9780815191452"
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,"Review for ""Anti-cancer peptides: classification, mechanism of action, reconstruction and modification""",https://doi.org/10.1098/rsob.200004/v1/review2,"Anti-cancer peptides: classification, mechanism of action, reconstruction and modification"". Review for, 2020."
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,"Molecular, cellular and systemic aspects of epithelial ovarian cancer and its tumor microenvironment",https://doi.org/10.1016/j.semcancer.2022.03.027,"Esther Schoutrop et al. ""Molecular, cellular and systemic aspects of epithelial ovarian cancer and its tumor microenvironment"". *Seminars in Cancer Biology*, 2022."
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,"Review for ""Artificial intelligence in dermatology: A systematic review of skin cancer detection and classification""",https://doi.org/10.1088/2631-8695/ae1933/v3/review2,"Artificial intelligence in dermatology: A systematic review of skin cancer detection and classification. ""Review for 'Artificial intelligence in dermatology: A systematic review of skin cancer detection and classification'"". crossref, 2025."
"Oncology: Cancer Biology, Classification, and Treatment Modalities",https://smarticle.tech/en/article/oncology-cancer-biology-classification-and-treatment-modalities-202605150116,Public Health,Machine Learning Models for Breast Cancer Classification,https://doi.org/10.21203/rs.3.rs-4782472/v1,"Ravi Teja S. ""Machine Learning Models for Breast Cancer Classification"". crossref, 2024."
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,Hippocrates,https://archive.org/details/hippocrates01hipp_0,Hippocrates. by Hippocrates. (1531). — Harvard Univ. Press. ISBN: 0674995260
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,The history of the great plague in London in the year 1665,https://archive.org/details/danieldefoesjour00defo,The history of the great plague in London in the year 1665. by Daniel Defoe. (1722). — Seltzer Books. ISBN: 139880178X
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,Epidemics and crowd-diseases,https://archive.org/details/b33398628_0002,"Epidemics and crowd-diseases. by Major Greenwood. (1935). — Arno Press, 1977.. ISBN: 0405098219"
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,Introduction to Epidemiology,https://openlibrary.org/works/OL13773556W,Introduction to Epidemiology. by Ray M. Merrill. (2010). — Jones & Bartlett Learning. ISBN: 9781284094350
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,Epidemiology kept simple,https://archive.org/details/epidemiologykept03edgers,Epidemiology kept simple. by B. Burt Gerstman. (1998). — Wiley-Liss. ISBN: 0471457809
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,Waterborne disease outbreaks,https://openlibrary.org/works/OL23169197W,"Waterborne disease outbreaks. by Gunther F. Craun. (1990). — Health Effects Research Laboratory, Office of Research and Development, U.S. Environmental Protection Agency"
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,Spatio-temporal determinants of mental health and well-being: advances in geographically-explicit ecological momentary assessment (GEMA),https://doi.org/10.1007/s00127-016-1277-5,"Kirchner, T. R., Shiffman, S. ""Spatio-temporal determinants of mental health and well-being: advances in geographically-explicit ecological momentary assessment (GEMA)"". Social Psychiatry and Psychiatric Epidemiology, 2016."
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,Epidemiology of severe asthma in children: a systematic review and meta-analysis,https://doi.org/10.1183/16000617.0095-2024,"S. Manti et al. ""Epidemiology of severe asthma in children: a systematic review and meta-analysis"". semantic_scholar_foundational, 2024."
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,[Ecological studies in environmental health: Beyond epidemiology].,https://doi.org/10.1590/S0120-41572015000500019,"L. Blanco-Becerra, C. Pinzón-Flórez, A. Idrovo. ""[Ecological studies in environmental health: Beyond epidemiology]"". semantic_scholar_foundational, 2015."
"Epidemiology: Disease Surveillance, Study Design, and Outbreak Investigation",https://smarticle.tech/en/article/epidemiology-disease-surveillance-study-design-and-outbreak-investigation-202605172355,Public Health,"Cholangiocarcinoma. Epidemiology, classification, diagnosis, treatment methods (literature review)",https://doi.org/10.47407/kr2024.5.7.00443,"Alexandra G. Zamotina et al. ""Cholangiocarcinoma. Epidemiology, classification, diagnosis, treatment methods (literature review)"". semantic_scholar_foundational, 2024."
"Global Public Health Policy: Health Systems, Equity, and International Frameworks",https://smarticle.tech/en/article/global-public-health-policy-health-systems-equity-and-international-framewo-202605180003,Public Health,Global Health,https://openlibrary.org/works/OL21142223W,"Global Health. by Kevin McCracken, Phillips, David R.. (2012). — Routledge. ISBN: 1317431227"
"Global Public Health Policy: Health Systems, Equity, and International Frameworks",https://smarticle.tech/en/article/global-public-health-policy-health-systems-equity-and-international-framewo-202605180003,Public Health,Understanding the politics of pandemic scares,https://openlibrary.org/works/OL16126014W,Understanding the politics of pandemic scares. by Mika Aaltola. (2011). — Taylor & Francis Group. ISBN: 0415603811
"Global Public Health Policy: Health Systems, Equity, and International Frameworks",https://smarticle.tech/en/article/global-public-health-policy-health-systems-equity-and-international-framewo-202605180003,Public Health,An Introduction to Global Health Delivery,https://openlibrary.org/works/OL22070489W,An Introduction to Global Health Delivery. by Joia S. Mukherjee. (2017). — Oxford University Press. ISBN: 9780190662455
"Global Public Health Policy: Health Systems, Equity, and International Frameworks",https://smarticle.tech/en/article/global-public-health-policy-health-systems-equity-and-international-framewo-202605180003,Public Health,The Health of women,https://archive.org/details/healthofwomenglo0000unse,"The Health of women. by Marjorie A. Koblinsky, Judith Timyan, Janet Gottschalk. (1992). — Westview Press Inc. ISBN: 0813385008"
"Global Public Health Policy: Health Systems, Equity, and International Frameworks",https://smarticle.tech/en/article/global-public-health-policy-health-systems-equity-and-international-framewo-202605180003,Public Health,How to leverage implementation research for equity in global health,https://doi.org/10.1186/s41256-024-00388-5,"Alonge, Olakunle. ""How to leverage implementation research for equity in global health"". crossref, 2024."
"Global Public Health Policy: Health Systems, Equity, and International Frameworks",https://smarticle.tech/en/article/global-public-health-policy-health-systems-equity-and-international-framewo-202605180003,Public Health,Global Health Equity for LGBTQ People and Populations,https://doi.org/10.1891/9780826195074.0010,"Rosa, William E., Patricia J. Moreland, and Tonda L. Hughes. ""Global Health Equity for LGBTQ People and Populations"". crossref, 2020."
"Global Public Health Policy: Health Systems, Equity, and International Frameworks",https://smarticle.tech/en/article/global-public-health-policy-health-systems-equity-and-international-framewo-202605180003,Public Health,Ensuring Global Health Equity in a Post-pandemic Economy,https://doi.org/10.34172/ijhpm.2022.7212,"Labonté, Ronald. ""Ensuring Global Health Equity in a Post-pandemic Economy"". International Journal of Health Policy and Management, 2022."
"Global Public Health Policy: Health Systems, Equity, and International Frameworks",https://smarticle.tech/en/article/global-public-health-policy-health-systems-equity-and-international-framewo-202605180003,Public Health,"Public Health, Clinical Governance, and Governance for Health and Well-Being",https://doi.org/10.1159/000530024,"Ramos, Victor. ""Public Health, Clinical Governance, and Governance for Health and Well-Being"". crossref, 2023."
"Pandemic Preparedness: Lessons from Influenza, HIV, and COVID-19",https://smarticle.tech/en/article/pandemic-preparedness-lessons-from-influenza-hiv-and-covid-19-202605180010,Public Health,Global Health,https://openlibrary.org/works/OL21142223W,"Global Health. by Kevin McCracken, Phillips, David R.. (2012). — Routledge. ISBN: 1317431227"
